parent_code,code,name
0,34691374,ГТУЮ у м. Києві
34691374,34999976,Голосіївський РВДВС м. Київ ГТУЮ у м. Києві
34691374,34968768,Дарницький РВДВС м. Київ ГТУЮ у м. Києві
34691374,34972294,Деснянський РВДВС у м. Київ ГТУЮ у м. Києві
34691374,35011660,Дніпровський РВДВС м. Київ ГТУЮ у м. Києві
34691374,35018577,Оболонський РВДВС м. Київ ГТУЮ у м. Києві
34691374,34979022,Печерський РВДВС м. Київ ГТУЮ у м. Києві
34691374,34482497,Подільський РВДВС м. Київ ГТУЮ у м. Києві
34691374,34999049,Святошинський РВДВС м. Київ ГТУЮ у м. Києві
34691374,35008087,Солом’янський РВДВС м. Київ ГТУЮ у м. Києві
34691374,34967593,Шевченківський РВДВС м. Київ ГТУЮ у м. Києві
0,34939304,ГТУЮ у Вінницькій області
34939304,34918420,Барський РВ ДВС ГТУЮ у Вінницькій області
34939304,34821997,Бершадський РВ ДВС ГТУЮ у Вінницькій області
34939304,34983238,Замостянський ВДВС м. Вінниця ГТУЮ у Вінницькій області
34939304,40143408,Центральний ВДВС м. Вінниця ГТУЮ у Вінницькій області
34939304,34983389,Староміський ВДВС м. Вінниця ГТУЮ у Вінницькій області
34939304,35003932,Вінницький РВ ДВС ГТУЮ у Вінницькій області
34939304,35019785,Гайсинський РВ ДВС ГТУЮ у Вінницькій області
34939304,34897998,Жмеринський МРВ ДВС ГТУЮ у Вінницькій області
34939304,34709648,Іллінецький РВ ДВС ГТУЮ у Вінницькій області
34939304,35054932,Калинівський РВ ДВС ГТУЮ у Вінницькій області
34939304,34939084,Козятинський міськРВ ДВС ГТУЮ у Вінницькій області
34939304,34625591,Крижопільський РВ ДВС ГТУЮ у Вінницькій області
34939304,34261173,Ладижинський МВ ДВС ГТУЮ у Вінницькій області
34939304,34246125,Липовецький РВ ДВС ГТУЮ у Вінницькій області
34939304,35013102,Літинський РВ ДВС ГТУЮ у Вінницькій області
34939304,34893286,Могилів-Подільський МРВ ДВС ГТУЮ у Вінницькій області
34939304,34867743,Мурованокуриловецький РВ ДВС ГТУЮ у Вінницькій області
34939304,34893443,Немирівський РВ ДВС ГТУЮ у Вінницькій області
34939304,34938976,Оратівський РВ ДВС ГТУЮ у Вінницькій області
34939304,34364460,Піщанський РВ ДВС ГТУЮ у Вінницькій області
34939304,34335010,Погребищенський РВ ДВС ГТУЮ у Вінницькій області
34939304,34886808,Теплицький РВ ДВС ГТУЮ у Вінницькій області
34939304,34246371,Томашпільський РВ ДВС ГТУЮ у Вінницькій області
34939304,34928025,Тростянецький РВ ДВС ГТУЮ у Вінницькій області
34939304,34826838,Тульчинський РВ ДВС ГТУЮ у Вінницькій області
34939304,34849258,Хмільницький МРВ ДВС ГТУЮ у Вінницькій області
